Name,Index
Anaheim Ducks,1
Arizona Coyotes,2
Boston Bruins,3
Buffalo Sabres,4
Calgary Flames,5
Carolina Hurricanes,6
Chicago Blackhawks,7
Colorado Avalanche,8
Columbus Blue Jackets,9
Dallas Stars,10
Detroit Red Wings,11
Edmonton Oilers,12
Florida Panthers,13
Los Angeles Kings,14
Minnesota Wild,15
Montreal Canadiens,16
Nashville Predators,17
New Jersey Devils,18
New York Islanders,19
New York Rangers,20
Ottawa Senators,21
Philadelphia Flyers,22
Pittsburgh Penguins,23
San Jose Sharks,24
Seattle Kraken,25
St. Louis Blues,26
Tampa Bay Lightning,27
Toronto Maple Leafs,28
Vancouver Canucks,29
Vegas Golden Knights,30
Washington Capitals,31
Winnipeg Jets,32